epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,4032.37,0.22165,0.0203,0.01,0.18472,0.81885,0.96724,0.91333,0.9853,0.87328,0.96724,0.91333,0.9853,0.98403,0.58751,0.11069,0.02012,0.51505,0.83513,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,4095.51,0.22149,0.01899,0.01103,0.18782,0.8216,0.88842,0.97315,0.98376,0.87356,0.88842,0.97315,0.98376,0.98136,0.57602,0.09436,0.01938,0.5195,0.83272,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,4158.82,0.2173,0.01784,0.00924,0.18138,0.81985,0.89812,0.95994,0.98372,0.87831,0.89812,0.95994,0.98372,0.98061,0.53286,0.10547,0.02023,0.51219,0.82935,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,4221.99,0.21063,0.01861,0.01184,0.18256,0.81947,0.91382,0.94251,0.97694,0.87849,0.91382,0.94251,0.97694,0.9756,0.54574,0.09926,0.02797,0.58166,0.82841,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,4285.61,0.21371,0.01862,0.01097,0.17871,0.81936,0.88554,0.96282,0.98255,0.8726,0.88554,0.96282,0.98255,0.98042,0.58914,0.13106,0.02482,0.56127,0.83219,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,4349.52,0.20772,0.01722,0.01141,0.17855,0.81883,0.92976,0.94125,0.98459,0.8833,0.92976,0.94125,0.98459,0.98324,0.53697,0.09685,0.01642,0.5322,0.82461,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,4412.83,0.20448,0.01578,0.01181,0.17351,0.81711,0.90283,0.99111,0.98726,0.88186,0.90283,0.99111,0.98685,0.98639,0.56082,0.09225,0.0233,0.59116,0.83,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,4475.69,0.20239,0.01849,0.01223,0.17249,0.81981,0.9436,0.96657,0.98925,0.88468,0.9436,0.96657,0.98925,0.98925,0.5765,0.07061,0.01298,0.53539,0.83176,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,4538.6,0.20423,0.01608,0.0093,0.17242,0.8173,0.95267,0.94889,0.98527,0.88929,0.95267,0.94889,0.98527,0.98527,0.5395,0.07544,0.01016,0.54502,0.82583,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,4602.2,0.19856,0.0164,0.01015,0.17184,0.8168,0.90197,0.96099,0.97842,0.87765,0.90197,0.96099,0.97783,0.97718,0.5574,0.12716,0.01992,0.60165,0.83203,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,4665.83,0.20031,0.01589,0.01257,0.16928,0.81484,0.9355,0.94444,0.98613,0.89443,0.9355,0.94444,0.98613,0.98603,0.52698,0.07913,0.0146,0.50283,0.82182,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,4729.5,0.1933,0.01454,0.0106,0.16711,0.81604,0.93887,0.93778,0.97931,0.87048,0.93887,0.93778,0.97931,0.97857,0.56555,0.12741,0.02077,0.57608,0.83553,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,4792.57,0.19707,0.01568,0.00953,0.16877,0.81927,0.94889,0.94882,0.98772,0.89507,0.94889,0.94882,0.98735,0.9871,0.52804,0.1066,0.0135,0.52087,0.83035,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,4855.72,0.19099,0.0146,0.00969,0.16476,0.81633,0.92013,0.97285,0.98809,0.8749,0.92013,0.97285,0.98788,0.9818,0.56807,0.10928,0.02061,0.54716,0.83467,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,4919.99,0.18854,0.01435,0.00934,0.16278,0.81384,0.91491,0.98222,0.98818,0.89054,0.91491,0.98222,0.98818,0.98723,0.52489,0.10023,0.01906,0.50342,0.82618,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,4984.52,0.18995,0.01438,0.00967,0.16114,0.81748,0.91374,0.96514,0.98617,0.86957,0.91374,0.96514,0.98617,0.98284,0.55775,0.12112,0.02371,0.55876,0.82882,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,5048.55,0.18774,0.01572,0.01228,0.1616,0.81755,0.94245,0.94222,0.98311,0.88086,0.94245,0.94222,0.98311,0.98243,0.5559,0.11476,0.01736,0.5525,0.82766,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,5112.92,0.18249,0.01432,0.00965,0.15562,0.81605,0.9198,0.96849,0.98873,0.89323,0.9198,0.96849,0.98873,0.98806,0.53677,0.10536,0.02018,0.51065,0.82365,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,5176.51,0.1795,0.01429,0.00963,0.15652,0.81389,0.95252,0.92444,0.9827,0.87063,0.95252,0.92444,0.98239,0.98156,0.56764,0.12178,0.02096,0.54382,0.82747,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,5240.01,0.17792,0.01332,0.01044,0.15453,0.8124,0.96513,0.92248,0.98717,0.88166,0.96478,0.92444,0.98697,0.98633,0.57545,0.10511,0.02184,0.53832,0.83132,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,5303.22,0.17869,0.01368,0.00949,0.15598,0.81826,0.91175,0.96421,0.98418,0.88043,0.91175,0.96421,0.98392,0.98348,0.56879,0.12621,0.02291,0.52428,0.82692,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
